Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean_sink,land sink,cement carbonation sink,budget imbalance
1750,0,,,,0.23,,
1751,0,,-0.07,,-0.51,,
1752,0,,-0.07,,-0.22,,
1753,0,,-0.07,,-0.38,,
1754,0,,-0.06,,-0.02,,
1755,0,,-0.06,,-0.02,,
1756,0,,-0.05,,0.32,,
1757,0,,-0.04,,0.6,,
1758,0,,-0.03,,-0.08,,
1759,0,,-0.01,,-0.52,,
1760,0,,0,,0,,
1761,0,,0.02,,-0.7,,
1762,0,,0.04,,-0.7,,
1763,0,,0.06,,0.6,,
1764,0,,0.09,,0.4,,
1765,0,,0.11,,-0.24,,
1766,0,,0.14,,0.31,,
1767,0,,0.16,,0.36,,
1768,0,,0.17,,0.37,,
1769,0,,0.19,,-0.02,,
1770,0,,0.2,,0.27,,
1771,0,,0.22,,-0.33,,
1772,0,,0.23,,-0.26,,
1773,0,,0.23,,-0.18,,
1774,0,,0.24,,0.06,,
1775,0,,0.24,,0.08,,
1776,0,,0.25,,0.46,,
1777,0,,0.26,,0.72,,
1778,0,,0.27,,0.05,,
1779,0,,0.28,,-0.25,,
1780,0,,0.29,,0.25,,
1781,0,,0.32,0.07,-0.49,,
1782,0,,0.35,0.08,-0.47,,
1783,0,,0.38,0.09,0.75,,
1784,0,,0.41,0.1,0.71,,
1785,0,,0.43,0.1,-0.01,,
1786,0.01,,0.45,0.12,0.53,,
1787,0.01,,0.47,0.12,0.5,,
1788,0.01,,0.48,0.13,0.65,,
1789,0.01,,0.49,0.13,0.14,,
1790,0.01,,0.49,0.14,0.54,,
1791,0.01,,0.5,0.15,-0.15,,
1792,0.01,,0.5,0.15,0.1,,
1793,0.01,,0.49,0.16,-0.02,,
1794,0.01,,0.48,0.16,0.31,,
1795,0.01,,0.47,0.16,0.34,,
1796,0.01,,0.46,0.16,0.77,,
1797,0.01,,0.44,0.17,1.05,,
1798,0.01,,0.42,0.17,0.26,,
1799,0.01,,0.4,0.17,0.06,,
1800,0.01,,0.38,0.17,0.55,,
1801,0.01,,0.36,0.17,-0.25,,
1802,0.01,,0.34,0.17,-0.24,,
1803,0.01,,0.32,0.17,0.87,,
1804,0.01,,0.3,0.17,0.79,,
1805,0.01,,0.28,0.17,0.16,,
1806,0.01,,0.25,0.17,0.64,,
1807,0.01,,0.23,0.17,0.61,,
1808,0.01,,0.2,0.17,0.75,,
1809,0.01,,0.17,0.17,0.33,,
1810,0.01,,0.15,0.17,0.58,,
1811,0.01,,0.12,0.17,-0.13,,
1812,0.01,,0.08,0.17,0.15,,
1813,0.01,,0.05,0.17,0.03,,
1814,0.01,,0.02,0.16,0.3,,
1815,0.01,,-0.01,0.16,0.37,,
1816,0.01,,-0.04,0.16,0.69,,
1817,0.01,,-0.07,0.16,0.89,,
1818,0.01,,-0.08,0.16,0.12,,
1819,0.01,,-0.1,0.15,-0.16,,
1820,0.01,,-0.1,0.15,0.41,,
1821,0.01,,-0.1,0.15,-0.45,,
1822,0.01,,-0.09,0.15,-0.46,,
1823,0.02,,-0.08,0.14,0.79,,
1824,0.02,,-0.05,0.14,0.6,,
1825,0.02,,-0.03,0.14,0.02,,
1826,0.02,,0.01,0.14,0.53,,
1827,0.02,,0.04,0.14,0.46,,
1828,0.02,,0.07,0.14,0.55,,
1829,0.02,,0.09,0.14,0.11,,
1830,0.02,,0.11,0.13,0.45,,
1831,0.02,,0.12,0.13,-0.25,,
1832,0.02,,0.14,0.13,-0.14,,
1833,0.02,,0.15,0.13,-0.17,,
1834,0.02,,0.16,0.13,0.12,,
1835,0.02,,0.18,0.13,0.19,,
1836,0.03,,0.21,0.13,0.53,,
1837,0.03,,0.24,0.13,0.91,,
1838,0.03,,0.27,0.14,0.14,,
1839,0.03,,0.32,0.14,-0.27,,
1840,0.03,,0.36,0.13,0.37,,
1841,0.03,,0.41,0.14,-0.39,,
1842,0.04,,0.46,0.14,-0.39,,
1843,0.04,,0.48,0.14,0.82,,
1844,0.04,,0.48,0.14,0.73,,
1845,0.04,,0.46,0.14,0.07,,
1846,0.04,,0.42,0.15,0.56,,
1847,0.05,,0.38,0.15,0.63,,
1848,0.05,,0.32,0.16,0.79,,
1849,0.05,,0.26,0.16,0.31,,
1850,0.05,0.66,0.19,0.16,0.48,,-0.12
1851,0.05,0.69,0.13,0.17,-0.23,,0.68
1852,0.06,0.7,0.07,0.17,0.04,,0.48
1853,0.06,0.71,0.01,0.17,-0.01,,0.6
1854,0.07,0.72,-0.04,0.17,0.33,,0.33
1855,0.07,0.72,-0.06,0.18,0.26,,0.42
1856,0.08,0.73,-0.06,0.18,0.67,,0.02
1857,0.08,0.74,-0.05,0.19,0.94,,-0.26
1858,0.08,0.75,-0.04,0.2,0.21,,0.46
1859,0.08,0.75,-0.01,0.2,-0.09,,0.74
1860,0.09,0.72,0.01,0.2,0.34,,0.26
1861,0.09,0.69,0.05,0.21,-0.6,,1.12
1862,0.1,0.68,0.09,0.22,-0.42,,0.88
1863,0.1,0.68,0.15,0.23,0.74,,-0.33
1864,0.11,0.67,0.21,0.23,0.62,,-0.27
1865,0.12,0.67,0.27,0.24,0.05,,0.22
1866,0.12,0.66,0.33,0.24,0.54,,-0.34
1867,0.13,0.66,0.39,0.25,0.58,,-0.42
1868,0.13,0.66,0.43,0.26,0.75,,-0.64
1869,0.14,0.65,0.46,0.27,0.13,,-0.06
1870,0.15,0.7,0.48,0.27,0.64,,-0.55
1871,0.15,0.73,0.5,0.28,-0.18,,0.29
1872,0.17,0.75,0.5,0.29,0.1,,0.04
1873,0.18,0.77,0.49,0.3,0,,0.16
1874,0.17,0.78,0.46,0.3,0.3,,-0.12
1875,0.18,0.79,0.43,0.31,0.39,,-0.16
1876,0.19,0.8,0.41,0.32,0.73,,-0.47
1877,0.19,0.81,0.4,0.34,1.12,,-0.86
1878,0.19,0.83,0.41,0.34,0.39,,-0.13
1879,0.21,0.84,0.44,0.35,0.07,,0.18
1880,0.23,0.85,0.47,0.36,0.54,,-0.29
1881,0.24,0.85,0.5,0.37,-0.23,,0.44
1882,0.25,0.86,0.55,0.38,-0.18,,0.37
1883,0.27,0.88,0.59,0.39,1.07,,-0.9
1884,0.27,0.88,0.65,0.4,0.83,,-0.72
1885,0.28,0.89,0.72,0.4,0.27,,-0.24
1886,0.28,0.89,0.78,0.41,0.86,,-0.88
1887,0.29,0.91,0.82,0.42,0.84,,-0.88
1888,0.33,0.91,0.84,0.42,1.03,,-1.06
1889,0.33,0.91,0.85,0.43,0.53,,-0.58
1890,0.35,0.95,0.86,0.43,0.85,,-0.85
1891,0.37,0.97,0.86,0.44,0.01,,0.03
1892,0.37,0.98,0.84,0.44,0.31,,-0.24
1893,0.37,1,0.81,0.45,0.35,,-0.24
1894,0.38,1.01,0.77,0.46,0.68,,-0.52
1895,0.41,1.02,0.73,0.46,0.67,,-0.43
1896,0.42,1.03,0.67,0.47,1.18,,-0.87
1897,0.44,1.04,0.59,0.48,1.17,,-0.76
1898,0.46,1.05,0.53,0.48,0.59,,-0.09
1899,0.51,1.06,0.5,0.49,0.32,,0.26
1900,0.53,1.09,0.48,0.49,0.9,,-0.25
1901,0.55,1.11,0.48,0.5,0.09,,0.59
